,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Year,Month,Day,Hour,DayOfWeek,Summary_Breezy and Dry,Summary_Breezy and Foggy,Summary_Breezy and Mostly Cloudy,Summary_Breezy and Overcast,Summary_Breezy and Partly Cloudy,Summary_Clear,Summary_Dangerously Windy and Partly Cloudy,Summary_Drizzle,Summary_Dry,Summary_Dry and Mostly Cloudy,Summary_Dry and Partly Cloudy,Summary_Foggy,Summary_Humid and Mostly Cloudy,Summary_Humid and Overcast,Summary_Humid and Partly Cloudy,Summary_Light Rain,Summary_Mostly Cloudy,Summary_Overcast,Summary_Partly Cloudy,Summary_Rain,Summary_Windy,Summary_Windy and Dry,Summary_Windy and Foggy,Summary_Windy and Mostly Cloudy,Summary_Windy and Overcast,Summary_Windy and Partly Cloudy,Precip Type_snow
Temperature (C),1.0,0.9926340404792917,-0.6322240758268626,0.008659096175263682,0.029837002933615225,0.3938128642074917,,-0.005286498848613821,0.01949407109477755,0.15038219629401964,-1.14226841730314e-05,0.09930783887571598,0.0023968148861771357,0.0030952177265645845,-0.024853877639788826,-0.006490825556094344,-0.03651305970792133,0.003685238517229307,0.0008349038950342918,-0.0010100829615252702,-0.0022981384671467834,0.03373979141595532,0.018813437561628808,0.04591761688838042,-0.3104240202681171,0.01910019236450586,0.008550080250380395,0.013399081473697392,-0.005134325470305889,0.04643906992867852,-0.21144451957814012,0.30029408077339775,-0.001965401362720583,-0.004899086387159746,0.0051572409032306955,-4.156160672095189e-05,-0.00020638883612081923,-0.009067406304777323,-0.005442571214047788,-0.563533459277382
Apparent Temperature (C),0.9926340404792917,1.0,-0.6024601346025962,-0.05706090895314961,0.02884614728313669,0.3826754667647672,,-6.893659556334216e-05,0.019032429576769795,0.15977961867642484,0.0025097136358438526,0.09572241508371854,0.0009018010863653548,0.0030889552223613177,-0.03255983410600334,-0.014951308103454098,-0.05114558824805603,-0.005159589533099551,0.007277534266149734,-0.0022223845795968237,-0.0015950386406872563,0.030600435965264055,0.016990969469967476,0.0422753696118663,-0.29294222482377774,0.01911191892023405,0.008494907824929555,0.013305170941840532,-0.005499621866886625,0.04577374450019776,-0.2165329589030218,0.2974750624909275,-0.0011929476403338142,-0.0075425601531974315,0.00466578538102647,-0.0006567044308009518,-0.001969897834252495,-0.01448058764186203,-0.010628306264067341,-0.5660853000882731
Humidity,-0.6322240758268626,-0.6024601346025962,1.0,-0.22469712625601748,0.0007685458405821496,-0.3706213935929713,,0.005376882340920539,0.0384413134786765,0.05568211301873185,0.005002342736704689,-0.15967091966534952,-0.0021069634549392086,-0.007834120880551207,0.01988839599776201,-0.03674740287732351,0.010758156043777415,-0.061399123011297976,-0.010409657886657979,-0.004039511045239789,0.013716743536213058,-0.048546464465082664,-0.03041699700622796,-0.0756196096434883,0.312554968336086,0.01454919604455148,0.006398675530682601,0.0077540170178833434,0.02007492391133152,-0.03169610763981038,0.23948275739850788,-0.3097997138101888,0.011069166996006116,-0.007575938494390073,-0.008164086953187084,0.005449672118395976,-0.013163822228951655,-0.0028978172018673926,-0.02783387102334964,0.2326575561250915
Wind Speed (km/h),0.008659096175263682,-0.05706090895314961,-0.22469712625601748,1.0,0.1044837181763218,0.10084705449291562,,-0.04943365880505552,-0.005189879025226793,-0.09939386530423701,-0.008240025654926231,0.011134560271967367,0.008951244419331178,0.010732954578185275,0.06259134282141669,0.23996075493844585,0.23900054456810113,0.2087473845793453,-0.13715819899239423,0.024750367717790638,-0.0013124575744407627,0.010631924595428931,0.004995046421218821,0.006483548275251327,-0.14881802893441262,-0.002207417186359537,-0.0013163086905142601,-0.0016706106794729097,0.014324659661318618,0.05509051936767441,0.08036049786840362,-0.07058824881767489,-0.00739120295361609,0.0413861748136814,0.013737759109719002,0.031141866794916897,0.08920518597928657,0.10197082807323718,0.12914796182451158,-0.0678764607940526
Wind Bearing (degrees),0.029837002933615225,0.02884614728313669,0.0007685458405821496,0.1044837181763218,1.0,0.04888833118770866,,-0.011642691185043855,-0.0255007110254483,-0.01906927503769872,-0.0033708383934180613,-0.0034710654772586945,-0.00239903698533611,0.001578530600652992,-0.0047826229891405145,0.027487941524402874,0.018028696932854374,0.04249072744643539,-0.028846748528748727,0.0035933044023175836,-0.0019157548164538526,0.0075037586162623226,3.1363654306564365e-05,0.010311058351243772,-0.04917957185630532,-0.006483278713180462,-0.003870753699864434,0.0017533307122267318,-0.0016104577680117402,0.028071187967984836,-0.016574194780688313,0.01650337145050545,0.00231021967325969,0.01124825297186358,-0.0011278819687472203,-0.001955082006525615,0.013153271396845573,0.011461389424388905,0.02649724735328228,-0.04211172525798064
Visibility (km),0.3938128642074917,0.3826754667647672,-0.3706213935929713,0.10084705449291562,0.04888833118770866,1.0,,0.061009419609565956,0.11494075069705739,-0.06803969199551707,-0.023500855308663974,0.10411108518602187,-0.00848847772083638,-0.00029418981684577666,-0.040006816107811524,0.019663043911410535,0.012560751345288536,0.01467664109176239,0.10074897292667846,0.0008391538307823288,-0.011076952310784878,-0.0005023023148749537,-0.0007146931432632658,0.004486954260781798,-0.5974277007805139,-0.0030801819992894845,-0.002680183173912671,0.0008652814598668446,-0.022751666172502277,0.11721569939840248,-0.11969779826157619,0.24502080018105454,-0.020997461544344436,0.0007663201955936699,-0.00029418981684578306,-0.013086500240004587,0.0036494196168574537,-0.002885728693843941,0.007105532210417533,-0.316487211207396
Loud Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pressure (millibars),-0.005286498848613821,-6.893659556334216e-05,0.005376882340920539,-0.04943365880505552,-0.011642691185043855,0.061009419609565956,,1.0,0.015118924860551629,-0.020046105548505295,-0.01599532522103624,-0.005748818506796095,0.016905545399327312,0.0005080067926292389,0.0009426905342814541,-0.0015826340703533797,-0.000654650184418019,-0.0036575625007135523,-0.1585623802870969,0.0001625089832598164,0.002026441245883776,0.002126480231067983,0.0012078546810662583,0.003600201996378841,0.010295165605314382,0.0016962576392744449,0.0008305864913450906,0.0010020356977424511,0.001728494892981727,0.04176287190978702,0.00950504646441111,0.05934338770038576,0.0012337401680969063,-0.0681950465812123,0.0004694652043329479,0.0004860743482047212,-0.0037990495039908322,0.0006093898064622202,-0.011238383203384779,0.009280922914367646
Year,0.01949407109477755,0.019032429576769795,0.0384413134786765,-0.005189879025226793,-0.0255007110254483,0.11494075069705739,,0.015118924860551629,1.0,-0.006506819702683575,-0.0034007243134197146,-0.00020793639808447625,0.0009726448997940969,0.0010442761004603918,0.0008158412717299407,-0.0058475179360540485,0.008877919237260964,-0.016080812802448722,-0.07503344773899638,-0.0040724879379999005,0.028813203654545875,-0.009181265523513163,0.003907588215890052,-0.0014618778631425168,-0.007242643487702417,0.004340176467639629,0.00663101232319293,-0.006119229305309097,0.03202221798143105,0.06052146715881422,0.014963166330281857,-0.016934417902483692,0.016247556201261636,0.0029537666395655832,0.0010442761004554465,-0.0020048903855661676,-4.920304847340337e-05,-0.0032165336257978694,-0.009833915106682046,-0.04409225244985903
Month,0.15038219629401964,0.15977961867642484,0.05568211301873185,-0.09939386530423701,-0.01906927503769872,-0.06803969199551707,,-0.020046105548505295,-0.006506819702683575,1.0,0.008714384293638012,0.0001566799669764774,-0.00033908604481528153,-0.0032869346541508446,0.0011214623822267157,-0.011158518577295948,-0.017817776780311004,-0.008809680755661754,0.024359241276943965,-0.005158876157842077,0.016045844181875952,-0.003756908894439296,0.003711185345369485,0.0005034399264069318,0.038288395016004284,0.003630683230263122,0.0008552347639836647,0.0007490775529144055,0.014008511923409754,0.004563078561814235,-0.06073767872432997,0.013461526294797079,0.01032488020590331,-0.008635338995408151,-0.002350963902305171,-0.002830030561525495,-0.016600967611613608,-0.009494240648666196,-0.022452912321672777,-0.14574988869103822
