Model,MAE,MSE,RMSE,R2,Category
Random Forest,1.2230603369881896,2.809977626754141,1.6762987880309823,0.9693608592235864,Machine Learning
Decision Tree,1.6316749277460492,6.215276167094864,2.493045560573425,0.932230520401731,Machine Learning
Gradient Boosting,2.330713423681539,8.530737541531836,2.9207426352781987,0.9069834343259352,Machine Learning
Linear Regression,2.7482733884653308,11.803731581559632,3.435655917224487,0.871295703506309,Machine Learning
LSTM,4.307155680482491,31.191070413208283,5.584896634066586,0.3014832146934321,Deep Learning
GRU,4.784424595592776,34.405748237290894,5.865641332138447,0.2294912506560706,Deep Learning
CNN-LSTM,4.760154811751628,35.05098400296057,5.92038714975301,0.2150413453841585,Deep Learning
ARIMA,2.3645,7.8129,2.7951,-0.6051,Time Series
SARIMA,2.2931,7.384,2.7174,-0.517,Time Series
Holt-Winters,5.2619,41.8781,6.4713,-7.6035,Time Series
Prophet,24.2037,901.5134,30.0252,-184.2085,Time Series
