Feature,Mean_Absolute_SHAP
Month_Cos,5.301468129576624
Humidity,2.126792771030828
Month_Sin,1.9417754361575157
Precip Type_snow,1.5968329329610902
Month,1.1309496011996714
Pressure (millibars),0.616862410925325
Hour_Cos,0.6086159817627117
Wind_U,0.4130088184993555
Day,0.3389448131259513
Hour,0.25673465906592396
Year,0.21706281330927346
Visibility (km),0.11037022181789265
Hour_Sin,0.1048328720430686
Wind_V,0.10264368307796777
Wind Bearing (degrees),0.07968962591198453
Wind Speed (km/h),0.059633272059212955
DayOfWeek_Cos,0.03524354305814717
DayOfWeek_Sin,0.03477411703249004
Summary_Mostly Cloudy,0.030024408778928632
DayOfWeek,0.02687930087010164
Summary_Clear,0.024314188354847565
Summary_Partly Cloudy,0.024274110752799723
Summary_Overcast,0.018056436376610033
Summary_Foggy,0.0019164661872058438
Summary_Dry and Partly Cloudy,0.0006094836176604311
Summary_Humid and Mostly Cloudy,0.00023421849383477048
Summary_Humid and Overcast,0.00018932198986095188
Summary_Breezy and Overcast,0.00015580672281319128
Summary_Dry,0.000145363971825469
Summary_Humid and Partly Cloudy,0.00014509934458129957
Summary_Breezy and Mostly Cloudy,0.0001311632503836832
Summary_Breezy and Partly Cloudy,6.742666595631912e-05
Summary_Dry and Mostly Cloudy,6.480779947368016e-05
Summary_Drizzle,2.2071678130880828e-05
Summary_Windy and Overcast,1.937474219929303e-05
Summary_Windy and Partly Cloudy,1.5856096732495883e-05
Summary_Windy and Mostly Cloudy,1.5259791694882263e-05
Summary_Breezy and Foggy,1.478453357203539e-05
Summary_Light Rain,9.32134412498853e-06
Summary_Windy,6.069880431350129e-06
Summary_Rain,2.9657519296200608e-06
Summary_Windy and Foggy,2.3648361398969657e-06
Summary_Windy and Dry,1.9003031795363567e-07
Summary_Breezy and Dry,8.163491700408992e-08
Summary_Dangerously Windy and Partly Cloudy,8.018683724861847e-08
Loud Cover,0.0
