Feature,Importance
Month_Cos,0.42923556881682934
Humidity,0.14861802514519062
Month_Sin,0.12506522835880937
Precip Type_snow,0.10155317355487849
Month,0.06852271323860422
Day,0.021652307644365848
Pressure (millibars),0.021379315428496675
Year,0.015995036575876736
Wind_U,0.012543205798122618
Hour_Cos,0.01166723204047484
Wind_V,0.007146698955453262
Hour,0.006096039819805021
Visibility (km),0.005618253707594266
Wind Speed (km/h),0.0051431621103616015
Wind Bearing (degrees),0.0050322551043233705
DayOfWeek_Sin,0.0031916454611430082
DayOfWeek,0.002836888509353374
Hour_Sin,0.002778634227536123
DayOfWeek_Cos,0.002320381118834092
Summary_Overcast,0.000901268193479428
Summary_Partly Cloudy,0.0008937262262786318
Summary_Mostly Cloudy,0.0008880198686388677
Summary_Clear,0.0007547712483074129
Summary_Foggy,5.858897621311305e-05
Summary_Dry and Partly Cloudy,2.424849308501787e-05
Summary_Breezy and Mostly Cloudy,1.721166563822995e-05
Summary_Breezy and Overcast,1.2641795697180008e-05
Summary_Humid and Mostly Cloudy,1.099617615369852e-05
Summary_Humid and Overcast,1.001041925196539e-05
Summary_Breezy and Partly Cloudy,9.617344881486597e-06
Summary_Humid and Partly Cloudy,8.394448441619982e-06
Summary_Dry,4.642362247382475e-06
Summary_Dry and Mostly Cloudy,2.8601233160149614e-06
Summary_Drizzle,2.5574356590241804e-06
Summary_Windy and Mostly Cloudy,1.1905813082405125e-06
Summary_Windy and Partly Cloudy,9.95159246785657e-07
Summary_Light Rain,8.056533252979631e-07
Summary_Windy and Overcast,7.333016214258943e-07
Summary_Breezy and Foggy,5.523799553240723e-07
Summary_Rain,1.9734959498362433e-07
Summary_Windy,1.3218103095618443e-07
Summary_Windy and Foggy,6.724975605308136e-08
Summary_Breezy and Dry,2.6846958943616648e-09
Summary_Windy and Dry,1.7110695035436343e-09
Summary_Dangerously Windy and Partly Cloudy,1.3550536571016869e-09
Loud Cover,0.0
